idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,0.0,1.0,2.0,3.0,4.0,5.0
13438,2018-10-31 12:30:00,2018-10-31 12:45:00,2018-10-31 13:00:00,19,2,18,28,1,0.0,0.0,14.0,14.0,-62.0,-63.0,14.0,14.0,-61.0,-62.0,0.0,0.0,14.0,14.0,-62.0,-63.0,14.0,14.0,-61.0,-62.0,1.0,0.0,18.0,14.0,-57.0,-90.0,18.0,-6.0,-57.0,-62.0,-85.0,23.0,-47,-86,0.0,0.0,0.0,0.0,0.0,1.0
188992,2019-05-27 04:15:00,2019-05-27 04:30:00,2019-05-27 04:45:00,19,7,18,56,0,0.0,0.0,18.0,18.0,-44.0,-44.0,18.0,18.0,-44.0,-45.0,0.0,0.0,18.0,18.0,-44.0,-44.0,18.0,18.0,-44.0,-45.0,2.0,0.0,18.0,18.0,-44.0,-94.0,18.0,18.0,-44.0,-94.0,-71.0,19.0,-48,-84,1.0,0.0,0.0,0.0,0.0,0.0
23965,2019-05-27 15:15:00,2019-05-27 15:30:00,2019-05-27 15:45:00,19,7,18,56,0,59.0,6.0,19.0,19.0,-49.0,-78.0,19.0,19.0,-51.0,-82.0,59.0,9.0,19.0,19.0,-63.0,-80.0,19.0,19.0,-66.0,-85.0,25.0,4.0,19.0,19.0,-59.0,-81.0,19.0,19.0,-62.0,-87.0,-71.0,19.0,-48,-84,0.0,0.0,0.0,1.0,0.0,0.0
6919,2018-04-13 11:30:00,2018-04-13 11:45:00,2018-04-13 12:00:00,19,2,23,14,1,63.0,47.0,23.0,19.0,-69.0,-96.0,21.0,-99.0,-63.0,-92.0,24.0,18.0,23.0,19.0,-69.0,-96.0,21.0,21.0,-65.0,-97.0,5.0,5.0,23.0,20.0,-69.0,-96.0,20.0,-99.0,-65.0,-69.0,-87.5,23.0,-41,-89,0.0,0.0,0.0,0.0,0.0,1.0
21033,2019-06-20 05:00:00,2019-06-20 05:15:00,2019-06-20 05:30:00,19,9,11,40,0,0.0,0.0,22.0,22.0,-41.0,-52.0,22.0,22.0,-45.0,-57.0,8.0,8.0,22.0,22.0,-43.0,-75.0,22.0,22.0,-43.0,-63.0,16.0,12.0,22.0,22.0,-34.0,-67.0,22.0,22.0,-34.0,-80.0,-66.5,23.0,-50,-85,0.0,0.0,0.0,1.0,0.0,0.0
98364,2018-09-06 21:45:00,2018-09-06 22:00:00,2018-09-06 22:15:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-97.0,-97.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,-97.0,-97.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,-97.0,-97.0,0.0,0.0,0.0,0.0,-83.0,19.0,-40,-84,0.0,0.0,0.0,0.0,0.0,1.0
75153,2018-11-03 19:15:00,2018-11-03 19:30:00,2018-11-03 19:45:00,19,9,18,56,0,0.0,0.0,17.0,17.0,-49.0,-55.0,17.0,17.0,-50.0,-56.0,25.0,15.0,17.0,17.0,-51.0,-81.0,17.0,17.0,-53.0,-85.0,0.0,0.0,17.0,17.0,-48.0,-86.0,17.0,17.0,-50.0,-92.0,-64.5,18.0,-40,-84,0.0,0.0,0.0,1.0,0.0,0.0
14797,2019-01-30 22:30:00,2019-01-30 22:45:00,2019-01-30 23:00:00,19,9,18,56,0,0.0,0.0,17.0,17.0,-61.0,-62.0,17.0,17.0,-55.0,-57.0,69.0,9.0,17.0,17.0,-62.0,-73.0,17.0,17.0,-56.0,-67.0,32.0,0.0,17.0,17.0,-72.0,-81.0,17.0,17.0,-67.0,-75.0,-64.5,18.0,-47,-84,0.0,0.0,0.0,0.0,0.0,1.0
78101,2018-04-08 21:45:00,2018-04-08 22:00:00,2018-04-08 22:15:00,19,7,18,56,0,605.0,14.0,17.0,17.0,-84.0,-85.0,17.0,17.0,-84.0,-85.0,289.0,0.0,17.0,17.0,-84.0,-85.0,17.0,17.0,-85.0,-85.0,309.0,0.0,17.0,17.0,-84.0,-84.0,17.0,17.0,-85.0,-85.0,-71.0,19.0,-43,-84,0.0,1.0,0.0,0.0,0.0,0.0
76084,2018-04-03 03:00:00,2018-04-03 03:15:00,2018-04-03 03:30:00,19,9,18,56,0,257.0,141.0,17.0,-99.0,-38.0,-56.0,17.0,17.0,-37.0,-82.0,130.0,76.0,17.0,17.0,-38.0,-56.0,17.0,17.0,-37.0,-54.0,156.0,84.0,17.0,17.0,-38.0,-56.0,17.0,17.0,-37.0,-53.0,-64.5,18.0,-43,-84,0.0,0.0,1.0,0.0,0.0,0.0
