,idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
1271,4713,2019-05-29 19:15:00,2019-05-29 19:30:00,2019-05-29 19:45:00,19,2,18,28,1,251.0,19.0,23.0,23.0,-86.0,-96.0,23.0,23.0,-82.0,-85.0,239.0,32.0,23.0,23.0,-87.0,-96.0,23.0,23.0,-83.0,-86.0,198.0,18.0,23.0,23.0,-86.0,-96.0,23.0,23.0,-82.0,-86.0,-85.0,23.0,-45,-86,1.0
1958,4713,2019-05-27 10:30:00,2019-05-27 10:45:00,2019-05-27 11:00:00,19,2,18,28,1,420.0,217.0,23.0,19.0,-69.0,-97.0,23.0,19.0,-65.0,-92.0,283.0,192.0,23.0,19.0,-63.0,-97.0,23.0,19.0,-57.0,-93.0,169.0,92.0,23.0,19.0,-55.0,-97.0,23.0,19.0,-51.0,-92.0,-85.0,23.0,-45,-86,1.0
1273,4713,2019-05-29 19:45:00,2019-05-29 20:00:00,2019-05-29 20:15:00,19,2,18,28,1,198.0,18.0,23.0,23.0,-86.0,-96.0,23.0,23.0,-82.0,-86.0,169.0,20.0,23.0,23.0,-86.0,-96.0,23.0,23.0,-82.0,-85.0,313.0,13.0,23.0,23.0,-87.0,-95.0,23.0,23.0,-82.0,-85.0,-85.0,23.0,-45,-86,1.0
93,4713,2018-08-14 10:30:00,2018-08-14 10:45:00,2018-08-14 11:00:00,19,2,18,28,1,60.0,9.0,23.0,20.0,-72.0,-94.0,23.0,20.0,-71.0,-88.0,19.0,0.0,23.0,23.0,-76.0,-97.0,23.0,23.0,-75.0,-93.0,80.0,13.0,23.0,23.0,-81.0,-95.0,23.0,23.0,-80.0,-90.0,-85.0,23.0,-45,-86,1.0
1955,4713,2019-05-27 09:45:00,2019-05-27 10:00:00,2019-05-27 10:15:00,19,2,18,28,1,362.0,201.0,23.0,19.0,-66.0,-97.0,23.0,19.0,-64.0,-93.0,272.0,154.0,23.0,19.0,-65.0,-97.0,23.0,19.0,-59.0,-93.0,319.0,172.0,23.0,19.0,-62.0,-97.0,23.0,19.0,-57.0,-93.0,-85.0,23.0,-45,-86,1.0
216,4780,2018-11-30 10:45:00,2018-11-30 11:00:00,2018-11-30 11:15:00,19,3,23,14,1,0.0,0.0,18.0,18.0,-48.0,-49.0,15.0,15.0,-46.0,-46.0,0.0,0.0,18.0,18.0,-49.0,-49.0,15.0,15.0,-46.0,-46.0,1.0,0.0,,,,-1.0,19.0,15.0,-46.0,,-83.5,23.0,-45,-89,5.0
2400,6589,2019-06-06 15:15:00,2019-06-06 15:30:00,2019-06-06 15:45:00,19,7,38,56,1,0.0,0.0,14.0,14.0,-37.0,-39.0,13.0,13.0,-35.0,-36.0,0.0,0.0,14.0,14.0,-37.0,-58.0,15.0,13.0,-35.0,-56.0,4.0,0.0,16.0,14.0,-36.0,-73.0,15.0,13.0,-35.0,-72.0,-69.0,15.0,-35,-82,3.0
1253,6671,2019-05-28 15:00:00,2019-05-28 15:15:00,2019-05-28 15:30:00,19,2,23,28,1,0.0,0.0,15.0,15.0,-43.0,-45.0,15.0,15.0,-40.0,-42.0,0.0,0.0,15.0,15.0,-43.0,-44.0,15.0,15.0,-40.0,-41.0,0.0,0.0,19.0,15.0,-43.0,-97.0,,,,-1.0,-85.0,23.0,-38,-86,5.0
1254,6671,2019-05-28 16:00:00,2019-05-28 16:15:00,2019-05-28 16:30:00,19,2,23,28,1,0.0,0.0,19.0,19.0,-96.0,-97.0,,,,-1.0,0.0,0.0,19.0,19.0,-96.0,-96.0,,,,-1.0,0.0,0.0,19.0,15.0,-38.0,-96.0,19.0,,-35.0,-41.0,-85.0,23.0,-38,-86,5.0
2508,6691,2019-06-18 16:45:00,2019-06-18 17:00:00,2019-06-18 17:15:00,19,2,13,28,1,0.0,0.0,18.0,18.0,-58.0,-60.0,18.0,18.0,-52.0,-54.0,0.0,0.0,18.0,18.0,-58.0,-64.0,18.0,18.0,-53.0,-58.0,91.0,31.0,22.0,18.0,-60.0,-97.0,22.0,18.0,-54.0,-96.0,-85.5,28.0,-49,-87,1.0
35,6897,2018-10-29 20:15:00,2018-10-29 20:30:00,2018-10-29 20:45:00,19,5,42,28,1,0.0,0.0,12.0,12.0,-49.0,-50.0,2.0,2.0,-40.0,-41.0,0.0,0.0,13.0,12.0,-49.0,-68.0,5.0,2.0,-41.0,-62.0,11.0,1.0,15.0,12.0,-51.0,-87.0,5.0,2.0,-43.0,-80.0,-75.0,15.0,-37,-83,1.0
2493,7657,2019-06-20 17:45:00,2019-06-20 18:00:00,2019-06-20 18:15:00,19,9,11,40,0,0.0,0.0,23.0,23.0,-46.0,-59.0,23.0,23.0,-46.0,-57.0,7.0,2.0,23.0,23.0,-48.0,-95.0,23.0,23.0,-48.0,-92.0,18.0,4.0,23.0,23.0,-54.0,-96.0,23.0,23.0,-53.0,-96.0,-66.5,23.0,-45,-85,0.0
2494,7657,2019-06-20 17:45:00,2019-06-20 18:00:00,2019-06-20 18:15:00,19,9,11,40,0,0.0,0.0,23.0,23.0,-45.0,-58.0,23.0,23.0,-44.0,-55.0,5.0,0.0,23.0,23.0,-47.0,-95.0,23.0,23.0,-45.0,-91.0,32.0,9.0,23.0,23.0,-53.0,-96.0,23.0,23.0,-50.0,-95.0,-66.5,23.0,-45,-85,0.0
2487,8382,2019-06-20 03:15:00,2019-06-20 03:30:00,2019-06-20 03:45:00,19,9,11,40,0,0.0,0.0,23.0,23.0,-39.0,-44.0,23.0,23.0,-40.0,-45.0,0.0,0.0,23.0,23.0,-42.0,-51.0,23.0,23.0,-43.0,-52.0,62.0,41.0,23.0,23.0,-48.0,-88.0,23.0,23.0,-49.0,-83.0,-66.5,23.0,-40,-85,0.0
2485,8382,2019-06-20 04:00:00,2019-06-20 04:15:00,2019-06-20 04:30:00,19,9,11,40,0,171.0,99.0,23.0,23.0,-59.0,-94.0,23.0,23.0,-64.0,-94.0,0.0,0.0,23.0,23.0,-71.0,-95.0,23.0,23.0,-74.0,-96.0,15.0,8.0,23.0,23.0,-63.0,-94.0,23.0,23.0,-63.0,-96.0,-66.5,23.0,-40,-85,0.0
2486,8382,2019-06-20 04:15:00,2019-06-20 04:30:00,2019-06-20 04:45:00,19,9,11,40,0,0.0,0.0,23.0,23.0,-71.0,-95.0,23.0,23.0,-74.0,-96.0,15.0,8.0,23.0,23.0,-63.0,-94.0,23.0,23.0,-63.0,-96.0,25.0,19.0,23.0,23.0,-54.0,-86.0,23.0,23.0,-57.0,-91.0,-66.5,23.0,-40,-85,0.0
